DateTime,Base,Rides
2014-04-01 00:00:00,B02512,8
2014-04-01 00:00:00,B02598,25
2014-04-01 00:00:00,B02617,20
2014-04-01 00:00:00,B02682,43
2014-04-01 00:00:00,B02764,5
2014-04-01 01:00:00,B02512,4
2014-04-01 01:00:00,B02598,17
2014-04-01 01:00:00,B02617,13
2014-04-01 01:00:00,B02682,19
2014-04-01 01:00:00,B02764,4
2014-04-01 02:00:00,B02512,4
2014-04-01 02:00:00,B02598,11
2014-04-01 02:00:00,B02617,7
2014-04-01 02:00:00,B02682,18
2014-04-01 02:00:00,B02764,1
2014-04-01 03:00:00,B02512,3
2014-04-01 03:00:00,B02598,18
2014-04-01 03:00:00,B02617,16
2014-04-01 03:00:00,B02682,27
2014-04-01 03:00:00,B02764,1
2014-04-01 04:00:00,B02512,9
2014-04-01 04:00:00,B02598,30
2014-04-01 04:00:00,B02617,25
2014-04-01 04:00:00,B02682,44
2014-04-01 04:00:00,B02764,6
2014-04-01 05:00:00,B02512,18
2014-04-01 05:00:00,B02598,45
2014-04-01 05:00:00,B02617,39
2014-04-01 05:00:00,B02682,52
2014-04-01 05:00:00,B02764,9
2014-04-01 06:00:00,B02512,36
2014-04-01 06:00:00,B02598,54
2014-04-01 06:00:00,B02617,59
2014-04-01 06:00:00,B02682,60
2014-04-01 06:00:00,B02764,14
2014-04-01 07:00:00,B02512,40
2014-04-01 07:00:00,B02598,58
2014-04-01 07:00:00,B02617,58
2014-04-01 07:00:00,B02682,60
2014-04-01 07:00:00,B02764,17
2014-04-01 08:00:00,B02512,33
2014-04-01 08:00:00,B02598,58
2014-04-01 08:00:00,B02617,56
2014-04-01 08:00:00,B02682,60
2014-04-01 08:00:00,B02764,13
2014-04-01 09:00:00,B02512,26
2014-04-01 09:00:00,B02598,53
2014-04-01 09:00:00,B02617,49
2014-04-01 09:00:00,B02682,58
2014-04-01 09:00:00,B02764,8
2014-04-01 10:00:00,B02512,26
2014-04-01 10:00:00,B02598,52
2014-04-01 10:00:00,B02617,52
2014-04-01 10:00:00,B02682,58
2014-04-01 10:00:00,B02764,9
2014-04-01 11:00:00,B02512,38
2014-04-01 11:00:00,B02598,57
2014-04-01 11:00:00,B02617,52
2014-04-01 11:00:00,B02682,56
2014-04-01 11:00:00,B02764,13
2014-04-01 12:00:00,B02512,30
2014-04-01 12:00:00,B02598,52
2014-04-01 12:00:00,B02617,49
2014-04-01 12:00:00,B02682,58
2014-04-01 12:00:00,B02764,13
2014-04-01 13:00:00,B02512,34
2014-04-01 13:00:00,B02598,56
2014-04-01 13:00:00,B02617,50
2014-04-01 13:00:00,B02682,57
2014-04-01 13:00:00,B02764,10
2014-04-01 14:00:00,B02512,35
2014-04-01 14:00:00,B02598,55
2014-04-01 14:00:00,B02617,56
2014-04-01 14:00:00,B02682,60
2014-04-01 14:00:00,B02764,15
2014-04-01 15:00:00,B02512,38
2014-04-01 15:00:00,B02598,60
2014-04-01 15:00:00,B02617,58
2014-04-01 15:00:00,B02682,60
2014-04-01 15:00:00,B02764,17
2014-04-01 16:00:00,B02512,43
2014-04-01 16:00:00,B02598,59
2014-04-01 16:00:00,B02617,59
2014-04-01 16:00:00,B02682,60
2014-04-01 16:00:00,B02764,22
2014-04-01 17:00:00,B02512,45
2014-04-01 17:00:00,B02598,60
2014-04-01 17:00:00,B02617,58
2014-04-01 17:00:00,B02682,60
2014-04-01 17:00:00,B02764,24
2014-04-01 18:00:00,B02512,40
2014-04-01 18:00:00,B02598,60
2014-04-01 18:00:00,B02617,60
2014-04-01 18:00:00,B02682,60
2014-04-01 18:00:00,B02764,17
2014-04-01 19:00:00,B02512,43
2014-04-01 19:00:00,B02598,60
2014-04-01 19:00:00,B02617,57
2014-04-01 19:00:00,B02682,60
2014-04-01 19:00:00,B02764,21
2014-04-01 20:00:00,B02512,27
2014-04-01 20:00:00,B02598,39
2014-04-01 20:00:00,B02617,36
2014-04-01 20:00:00,B02682,40
2014-04-01 20:00:00,B02764,12
