DateTime,Description,Temperature,Humidity,Pressure,WindSpeed,WindDirection
2014-04-01 00:00:00,cloudy,9.95999999999998,40.0,1016.0,5.0,330.0
2014-04-01 01:00:00,cloudy,8.829999999999984,,1016.0,5.0,340.0
2014-04-01 02:00:00,cloudy,6.839999999999975,,1017.0,7.0,360.0
2014-04-01 03:00:00,cloudy,5.069999999999993,60.0,1018.0,6.0,20.0
2014-04-01 04:00:00,clear sky,4.189999999999998,60.0,1019.0,4.0,360.0
2014-04-01 05:00:00,clear sky,3.490000000000009,60.0,1019.0,4.0,340.0
2014-04-01 06:00:00,clear sky,2.990000000000009,64.0,1020.0,3.0,290.0
2014-04-01 07:00:00,clear sky,2.069999999999993,69.0,1020.0,3.0,300.0
2014-04-01 08:00:00,clear sky,1.9399999999999977,69.0,1019.0,3.0,330.0
2014-04-01 09:00:00,clear sky,1.579999999999984,64.0,1019.0,3.0,310.0
2014-04-01 10:00:00,clear sky,1.579999999999984,64.0,1020.0,3.0,320.0
2014-04-01 11:00:00,cloudy,1.7799999999999727,69.0,1020.0,3.0,350.0
2014-04-01 12:00:00,cloudy,3.4399999999999977,60.0,1021.0,4.0,340.0
2014-04-01 13:00:00,cloudy,5.480000000000018,52.0,1021.0,5.0,340.0
2014-04-01 14:00:00,cloudy,7.350000000000023,49.0,1020.0,5.0,360.0
2014-04-01 15:00:00,cloudy,8.949999999999989,45.0,1020.0,2.0,290.0
2014-04-01 16:00:00,cloudy,10.660000000000025,40.0,1019.0,2.0,290.0
2014-04-01 17:00:00,light rain,12.449999999999989,37.0,1019.0,0.0,0.0
2014-04-01 18:00:00,light rain,13.660000000000025,35.0,1018.0,1.0,0.0
2014-04-01 19:00:00,cloudy,14.649999999999977,31.0,1017.0,3.0,340.0
2014-04-01 20:00:00,cloudy,15.050000000000011,31.0,1016.0,0.0,0.0
2014-04-01 21:00:00,overcast,14.819999999999993,38.0,1015.0,3.0,100.0
2014-04-01 22:00:00,light rain,13.589999999999975,46.0,1016.0,4.0,160.0
2014-04-01 23:00:00,cloudy,12.100000000000023,50.0,1016.0,3.0,150.0
2014-04-02 00:00:00,cloudy,9.629999999999995,,1017.0,3.0,190.0
2014-04-02 01:00:00,cloudy,8.230000000000018,61.0,1018.0,2.0,160.0
2014-04-02 02:00:00,cloudy,7.269999999999982,65.0,1018.0,2.0,210.0
2014-04-02 03:00:00,clear sky,6.199999999999989,70.0,1019.0,2.0,170.0
2014-04-02 04:00:00,clear sky,5.4599999999999795,70.0,1019.0,1.0,160.0
2014-04-02 05:00:00,clear sky,4.910000000000025,70.0,1018.0,0.0,0.0
2014-04-02 06:00:00,clear sky,4.170000000000016,70.0,1018.0,1.0,150.0
2014-04-02 07:00:00,cloudy,3.730000000000018,75.0,1018.0,0.0,0.0
2014-04-02 08:00:00,cloudy,3.3799999999999955,80.0,1018.0,0.0,0.0
2014-04-02 09:00:00,cloudy,3.519999999999982,75.0,1019.0,0.0,0.0
2014-04-02 10:00:00,overcast,3.670000000000016,75.0,1019.0,0.0,0.0
2014-04-02 11:00:00,overcast,3.910000000000025,81.0,1019.0,1.0,100.0
2014-04-02 12:00:00,overcast,4.389999999999986,81.0,1020.0,1.0,130.0
2014-04-02 13:00:00,overcast,5.9599999999999795,81.0,1020.0,0.0,0.0
2014-04-02 14:00:00,light rain,6.699999999999989,81.0,1021.0,2.0,0.0
2014-04-02 15:00:00,light rain,7.550000000000011,75.0,1020.0,1.0,130.0
2014-04-02 16:00:00,light rain,7.910000000000025,75.0,1020.0,2.0,160.0
2014-04-02 17:00:00,light rain,8.550000000000011,87.0,1020.0,1.0,90.0
2014-04-02 18:00:00,light rain,9.199999999999989,87.0,1019.0,1.0,0.0
2014-04-02 19:00:00,overcast,9.939999999999998,87.0,1019.0,3.0,180.0
2014-04-02 20:00:00,cloudy,10.70999999999998,81.0,1018.0,2.0,180.0
2014-04-02 21:00:00,cloudy,11.470000000000027,71.0,1018.0,1.0,0.0
2014-04-02 22:00:00,cloudy,11.720000000000027,71.0,1018.0,1.0,0.0
2014-04-02 23:00:00,cloudy,9.862000000000023,75.0,1025.0,1.0,120.0
2014-04-03 00:00:00,cloudy,9.20999999999998,71.0,1018.0,0.0,0.0
2014-04-03 01:00:00,cloudy,7.569999999999993,81.0,1019.0,0.0,0.0
2014-04-03 02:00:00,cloudy,6.660000000000025,87.0,1019.0,0.0,0.0
2014-04-03 03:00:00,cloudy,6.009999999999991,87.0,1019.0,1.0,250.0
2014-04-03 04:00:00,cloudy,5.319999999999993,87.0,1019.0,0.0,0.0
2014-04-03 05:00:00,cloudy,4.910000000000025,93.0,1019.0,0.0,0.0
2014-04-03 06:00:00,overcast,5.220000000000027,93.0,1019.0,2.0,20.0
2014-04-03 07:00:00,overcast,5.689999999999998,93.0,1019.0,2.0,30.0
2014-04-03 08:00:00,overcast,5.990000000000009,93.0,1019.0,2.0,10.0
2014-04-03 09:00:00,overcast,6.310000000000002,87.0,1019.0,3.0,20.0
2014-04-03 10:00:00,overcast,6.490000000000009,75.0,1019.0,3.0,30.0
2014-04-03 11:00:00,cloudy,6.1299999999999955,75.0,1020.0,3.0,20.0
2014-04-03 12:00:00,cloudy,7.310000000000002,70.0,1020.0,3.0,20.0
2014-04-03 13:00:00,cloudy,9.009999999999991,61.0,1021.0,2.0,20.0
2014-04-03 14:00:00,cloudy,10.430000000000007,34.0,1020.0,3.0,340.0
2014-04-03 15:00:00,cloudy,12.45999999999998,28.0,1020.0,2.0,20.0
2014-04-03 16:00:00,cloudy,14.189999999999998,22.0,1020.0,1.0,0.0
2014-04-03 17:00:00,cloudy,15.569999999999993,24.0,1018.0,2.0,0.0
2014-04-03 18:00:00,cloudy,17.0,21.0,1018.0,0.0,0.0
2014-04-03 19:00:00,cloudy,17.420000000000016,21.0,1018.0,0.0,0.0
2014-04-03 20:00:00,cloudy,17.70999999999998,23.0,1017.0,3.0,110.0
2014-04-03 21:00:00,cloudy,17.379999999999995,25.0,1017.0,4.0,140.0
2014-04-03 22:00:00,overcast,16.360000000000014,26.0,1016.0,2.0,140.0
2014-04-03 23:00:00,overcast,14.639999999999986,28.0,1016.0,2.0,160.0
2014-04-04 00:00:00,overcast,12.660000000000025,26.0,1016.0,2.0,140.0
2014-04-04 01:00:00,overcast,11.970000000000027,37.0,1017.0,0.0,0.0
2014-04-04 02:00:00,light rain,11.060000000000002,,1017.0,0.0,0.0
2014-04-04 03:00:00,light rain,9.300000000000011,61.0,1019.0,1.0,230.0
2014-04-04 04:00:00,moderate rain,7.899999999999977,75.0,1019.0,1.0,200.0
2014-04-04 05:00:00,light rain,7.3799999999999955,81.0,1019.0,0.0,0.0
2014-04-04 06:00:00,light rain,6.9599999999999795,81.0,1019.0,2.0,110.0
2014-04-04 07:00:00,light rain,6.600000000000023,81.0,1018.0,3.0,100.0
2014-04-04 08:00:00,light rain,6.2099999999999795,81.0,1018.0,3.0,110.0
2014-04-04 09:00:00,light rain,5.800000000000011,87.0,1018.0,2.0,80.0
2014-04-04 10:00:00,light rain,5.589999999999975,87.0,1018.0,2.0,90.0
2014-04-04 11:00:00,light rain,5.360000000000014,70.0,1018.0,4.0,80.0
2014-04-04 12:00:00,light rain,5.220000000000027,65.0,1018.0,2.0,60.0
2014-04-04 13:00:00,light rain,5.3700000000000045,80.0,1018.0,5.0,50.0
2014-04-04 14:00:00,light rain,5.740000000000009,75.0,1018.0,5.0,110.0
2014-04-04 15:00:00,light rain,5.839999999999975,75.0,1018.0,5.0,100.0
2014-04-04 16:00:00,light rain,5.560000000000002,65.0,1018.0,6.0,100.0
2014-04-04 17:00:00,light rain,5.5,93.0,1017.0,5.0,80.0
2014-04-04 18:00:00,light rain,5.410000000000025,87.0,1016.0,5.0,80.0
2014-04-04 19:00:00,light rain,5.339999999999975,70.0,1015.0,7.0,110.0
2014-04-04 20:00:00,light rain,5.0400000000000205,81.0,1014.0,6.0,100.0
2014-04-04 21:00:00,light rain,4.670000000000016,27.0,1012.0,3.0,110.0
2014-04-04 22:00:00,light rain,4.6200000000000045,80.0,1012.0,7.0,100.0
2014-04-04 23:00:00,light rain,4.430000000000007,80.0,1012.0,4.0,60.0
2014-04-05 00:00:00,moderate rain,4.410000000000025,86.0,1011.0,4.0,70.0
2014-04-05 01:00:00,light rain,4.589999999999975,86.0,1011.0,5.0,30.0
2014-04-05 02:00:00,light rain,4.4599999999999795,86.0,1011.0,6.0,40.0
